subject,organ,accept,dice,iou,tp,fp,fn,pred_vox,gt_vox,status,num_voxels,volume_mm3,is_empty,centroid_x_rel,centroid_y_rel,centroid_z_rel,bbox_x_rel,bbox_y_rel,bbox_z_rel,bbox_volume_mm3,mask_to_bbox_ratio,num_components,largest_component_fraction,touches_boundary,boundary_fraction,mean_HU,median_HU,std_HU,p05_HU,p95_HU,orig_axcodes
s1106,inferior_vena_cava,1,0.9636,0.9298,10839,385,433,11224,11272,ok,11224,37881.0,0,0.7297,0.3417,0.2401,0.2364,0.2273,0.5109,103106.25,0.3674,1,1.0,1,0.008,94.43,97.0,47.43,12.0,167.0,RAS
s1106,liver,1,0.9639,0.9304,55162,3895,233,59057,55395,ok,59057,199317.38,0,0.8346,0.5744,0.1066,0.5091,0.9909,0.3804,721035.0,0.2764,1,1.0,1,0.0889,64.98,64.0,52.55,-18.0,152.0,RAS
s1106,lung_lower_lobe_left,1,0.9879,0.976,70392,427,1304,70819,71696,ok,70819,239014.12,0,0.1984,0.1282,0.6132,0.4818,0.4727,0.8913,762723.0,0.3134,1,1.0,1,0.0718,-710.89,-797.0,243.07,-879.0,-131.0,RAS
s1106,lung_lower_lobe_right,1,0.991,0.9822,71393,280,1017,71673,72410,ok,71673,241896.38,0,0.8477,0.1411,0.4834,0.3636,0.5545,1.0,757620.0,0.3193,1,1.0,1,0.0664,-761.52,-821.0,201.26,-898.0,-378.0,RAS
s1106,lung_middle_lobe_right,1,0.9854,0.9712,34896,399,636,35295,35532,ok,35295,119120.62,0,0.9147,0.7218,0.5023,0.3,0.7636,0.7065,608107.5,0.1959,1,1.0,1,0.071,-835.29,-882.0,157.27,-942.0,-550.7,RAS
s1106,lung_upper_lobe_left,1,0.9938,0.9878,111057,758,619,111815,111676,ok,111815,377375.62,0,0.1786,0.5732,0.777,0.6091,0.8364,0.6522,1248210.0,0.3023,1,1.0,1,0.0585,-816.34,-871.0,188.08,-935.0,-488.0,RAS
s1106,lung_upper_lobe_right,1,0.9754,0.952,15498,686,95,16184,15593,ok,16184,54621.0,0,0.9088,0.6145,0.8746,0.2909,0.7727,0.3152,266220.0,0.2052,3,0.9564,1,0.1159,-803.81,-860.0,184.78,-915.0,-492.15,RAS
s1106,portal_vein_and_splenic_vein,0,0.0,0.0,0,291,0,291,0,false_positive,291,982.12,0,0.1238,0.1088,0.0238,0.1364,0.1545,0.0652,5163.75,0.1902,2,0.9278,1,0.1134,183.19,154.0,106.03,54.0,415.0,RAS
s1106,pulmonary_vein,1,0.964,0.9305,8389,379,248,8768,8637,ok,8768,29592.0,0,0.5947,0.2128,0.7309,0.7636,0.3182,0.5,456435.0,0.0648,4,0.3197,1,0.0019,393.92,419.0,116.69,140.0,525.0,RAS
s1106,rib_left_3,0,0.0,0.0,0,31,0,31,0,false_positive,31,104.62,0,0.2718,0.8475,0.9485,0.1,0.0545,0.087,1782.0,0.0587,5,0.8065,1,0.1613,329.52,326.0,78.26,227.0,483.0,RAS
